,i,j,i_label,j_label,mobius
0,0,1,0,1,0
1,0,2,0,2,0
2,0,3,0,01,0
3,0,4,0,02,0
4,0,5,0,12,0
5,0,6,0,012,0
6,0,7,0,0|1,0
7,0,8,0,0|2,0
8,0,9,0,0|12,0
9,0,10,0,1|2,0
10,0,11,0,1|02,0
11,0,12,0,2|01,0
12,0,13,0,01|02,-1
13,0,14,0,01|12,0
14,0,15,0,02|12,0
15,0,16,0,0|1|2,0
16,0,17,0,01|02|12,0
17,1,0,1,0,0
18,1,2,1,2,0
19,1,3,1,01,0
20,1,4,1,02,0
21,1,5,1,12,0
22,1,6,1,012,0
23,1,7,1,0|1,0
24,1,8,1,0|2,0
25,1,9,1,0|12,0
26,1,10,1,1|2,0
27,1,11,1,1|02,0
28,1,12,1,2|01,0
29,1,13,1,01|02,0
30,1,14,1,01|12,-1
31,1,15,1,02|12,0
32,1,16,1,0|1|2,0
33,1,17,1,01|02|12,0
34,2,0,2,0,0
35,2,1,2,1,0
36,2,3,2,01,0
37,2,4,2,02,0
38,2,5,2,12,0
39,2,6,2,012,0
40,2,7,2,0|1,0
41,2,8,2,0|2,0
42,2,9,2,0|12,0
43,2,10,2,1|2,0
44,2,11,2,1|02,0
45,2,12,2,2|01,0
46,2,13,2,01|02,0
47,2,14,2,01|12,0
48,2,15,2,02|12,-1
49,2,16,2,0|1|2,0
50,2,17,2,01|02|12,0
51,3,0,01,0,0
52,3,1,01,1,0
53,3,2,01,2,0
54,3,4,01,02,0
55,3,5,01,12,0
56,3,6,01,012,-1
57,3,7,01,0|1,0
58,3,8,01,0|2,0
59,3,9,01,0|12,0
60,3,10,01,1|2,0
61,3,11,01,1|02,0
62,3,12,01,2|01,0
63,3,13,01,01|02,0
64,3,14,01,01|12,0
65,3,15,01,02|12,0
66,3,16,01,0|1|2,0
67,3,17,01,01|02|12,0
68,4,0,02,0,0
69,4,1,02,1,0
70,4,2,02,2,0
71,4,3,02,01,0
72,4,5,02,12,0
73,4,6,02,012,-1
74,4,7,02,0|1,0
75,4,8,02,0|2,0
76,4,9,02,0|12,0
77,4,10,02,1|2,0
78,4,11,02,1|02,0
79,4,12,02,2|01,0
80,4,13,02,01|02,0
81,4,14,02,01|12,0
82,4,15,02,02|12,0
83,4,16,02,0|1|2,0
84,4,17,02,01|02|12,0
85,5,0,12,0,0
86,5,1,12,1,0
87,5,2,12,2,0
88,5,3,12,01,0
